timestamp,energy_consumption,trend,seasonal,hourofday_effect,dayofweek_effect,holiday_effect,noise,year,month,day,hour,dayofweek,quarter,weekofyear,is_weekend
2019-01-01 00:00:00,184.96714153011231,0.0,0.0,-20.0,0.0,0.0,4.967141530112327,2019,1,1,0,1,1,1,0
2019-01-01 01:00:00,186.48238784228306,0.05,7.815030853994909,-20.0,0.0,0.0,-1.3826430117118464,2019,1,1,1,1,1,1,0
2019-01-01 02:00:00,201.7641644916027,0.1,15.187279110595798,-20.0,0.0,0.0,6.476885381006925,2019,1,1,2,1,1,1,0
2019-01-01 03:00:00,217.08431346384106,0.15000000000000002,21.704014899760804,-20.0,0.0,0.0,15.230298564080254,2019,1,1,3,1,1,1,0
2019-01-01 04:00:00,204.86903218608535,0.2,27.010565933318734,-20.0,0.0,0.0,-2.3415337472333597,2019,1,1,4,1,1,1,0
2019-01-01 05:00:00,208.74299660323885,0.25,30.834366172730647,-20.0,0.0,0.0,-2.3413695694918055,2019,1,1,5,1,1,1,0
2019-01-01 06:00:00,249.09553775835715,0.30000000000000004,33.00340960328321,0.0,0.0,0.0,15.792128155073915,2019,1,1,6,1,1,1,0
2019-01-01 07:00:00,241.48219898146664,0.35000000000000003,33.45785168993753,0.0,0.0,0.0,7.674347291529088,2019,1,1,7,1,1,1,0
2019-01-01 08:00:00,247.95922420392634,0.4,32.25396806327587,20.0,0.0,0.0,-4.694743859349521,2019,1,1,8,1,1,1,0
2019-01-01 09:00:00,255.4358012607986,0.45,29.560200824938953,20.0,0.0,0.0,5.425600435859646,2019,1,1,9,1,1,1,0
2019-01-01 10:00:00,241.5113851480556,0.5,25.645562076180212,20.0,0.0,0.0,-4.634176928124623,2019,1,1,10,1,1,1,0
2019-01-01 11:00:00,236.75388757842097,0.55,20.861185114123522,20.0,0.0,0.0,-4.657297535702568,2019,1,1,11,1,1,1,0
2019-01-01 12:00:00,238.6359034292093,0.6000000000000001,15.616280713548958,20.0,0.0,0.0,2.419622715660341,2019,1,1,12,1,1,1,0
2019-01-01 13:00:00,191.86733474751773,0.65,10.350137194095698,0.0,0.0,0.0,-19.13280244657798,2019,1,1,13,1,1,1,0
2019-01-01 14:00:00,188.95289425479132,0.7000000000000001,5.502072579921657,0.0,0.0,0.0,-17.249178325130327,2019,1,1,14,1,1,1,0
